landmark,frame,x,y
NOSE,146,700.70,148.19
NOSE,147,709.50,143.79
NOSE,148,714.48,136.80
NOSE,149,713.63,137.87
NOSE,150,714.69,137.40
NOSE,151,705.30,138.79
NOSE,152,698.49,143.11
NOSE,153,691.79,150.66
NOSE,154,690.54,154.06
NOSE,155,697.68,156.65
NOSE,156,683.37,155.62
NOSE,157,677.33,153.15
NOSE,158,672.78,154.83
NOSE,159,676.82,159.30
NOSE,160,676.87,159.33
NOSE,161,686.75,163.26
NOSE,162,705.24,165.98
NOSE,163,722.47,170.13
NOSE,164,734.56,172.70
NOSE,165,737.35,174.25
NOSE,166,737.37,174.68
NOSE,167,738.05,176.50
NOSE,168,736.01,176.33
NOSE,169,729.64,176.88
NOSE,170,719.17,177.33
NOSE,171,713.19,177.76
NOSE,172,713.27,178.00
NOSE,173,699.49,179.82
NOSE,174,698.19,174.64
NOSE,175,674.43,177.59
NOSE,176,661.47,180.26
NOSE,177,652.96,180.26
NOSE,178,652.75,180.49
NOSE,179,640.68,183.46
NOSE,180,640.18,193.79
NOSE,181,636.88,189.05
NOSE,182,627.84,186.89
NOSE,183,629.42,189.49
LEFT_EYE_INNER,0,603.91,315.57
LEFT_EYE_INNER,1,542.21,312.62
LEFT_EYE_INNER,2,542.40,312.87
LEFT_EYE_INNER,3,528.94,323.47
LEFT_EYE_INNER,4,526.18,315.56
LEFT_EYE_INNER,5,545.24,309.67
LEFT_EYE_INNER,6,586.47,291.57
LEFT_EYE_INNER,7,626.22,276.10
LEFT_EYE_INNER,8,627.21,275.58
LEFT_EYE_INNER,9,660.83,252.13
LEFT_EYE_INNER,10,690.50,242.24
LEFT_EYE_INNER,11,696.73,228.51
LEFT_EYE_INNER,12,691.89,214.43
LEFT_EYE_INNER,13,678.42,195.91
LEFT_EYE_INNER,14,677.99,195.68
LEFT_EYE_INNER,15,651.58,184.24
LEFT_EYE_INNER,16,623.07,171.63
LEFT_EYE_INNER,17,605.57,154.77
LEFT_EYE_INNER,18,580.62,157.03
LEFT_EYE_INNER,19,579.24,157.43
LEFT_EYE_INNER,20,579.24,157.00
LEFT_EYE_INNER,21,577.84,156.26
LEFT_EYE_INNER,22,577.53,157.84
LEFT_EYE_INNER,23,581.43,160.29
LEFT_EYE_INNER,24,602.77,166.58
LEFT_EYE_INNER,25,620.80,157.01
LEFT_EYE_INNER,26,621.57,156.67
LEFT_EYE_INNER,27,640.99,161.85
LEFT_EYE_INNER,28,663.85,167.78
LEFT_EYE_INNER,29,675.08,177.73
LEFT_EYE_INNER,30,677.42,182.64
LEFT_EYE_INNER,31,659.66,185.97
LEFT_EYE_INNER,32,659.44,185.91
LEFT_EYE_INNER,33,619.29,178.61
LEFT_EYE_INNER,34,551.92,189.17
LEFT_EYE_INNER,35,540.53,195.34
LEFT_EYE_INNER,36,530.23,209.43
LEFT_EYE_INNER,37,539.81,214.50
LEFT_EYE_INNER,38,540.40,214.83
LEFT_EYE_INNER,39,582.44,217.37
LEFT_EYE_INNER,40,625.07,166.31
LEFT_EYE_INNER,41,681.15,227.16
LEFT_EYE_INNER,42,710.42,236.84
LEFT_EYE_INNER,43,711.77,235.75
LEFT_EYE_INNER,44,706.75,241.42
LEFT_EYE_INNER,45,573.91,204.67
LEFT_EYE_INNER,46,590.97,225.06
LEFT_EYE_INNER,47,542.56,222.69
LEFT_EYE_INNER,48,508.45,240.67
LEFT_EYE_INNER,49,508.35,240.87
LEFT_EYE_INNER,50,513.40,238.69
LEFT_EYE_INNER,51,554.52,201.71
LEFT_EYE_INNER,52,593.79,201.47
LEFT_EYE_INNER,53,663.19,218.29
LEFT_EYE_INNER,54,675.64,208.57
LEFT_EYE_INNER,55,675.62,208.93
LEFT_EYE_INNER,56,669.12,188.28
LEFT_EYE_INNER,57,645.38,169.73
LEFT_EYE_INNER,58,609.68,157.00
LEFT_EYE_INNER,59,582.75,147.75
LEFT_EYE_INNER,60,584.96,147.75
LEFT_EYE_INNER,61,585.25,149.59
LEFT_EYE_INNER,62,605.22,145.92
LEFT_EYE_INNER,63,630.43,142.71
LEFT_EYE_INNER,64,652.09,137.40
LEFT_EYE_INNER,65,669.84,138.78
LEFT_EYE_INNER,66,667.54,142.79
LEFT_EYE_INNER,67,667.29,143.59
LEFT_EYE_INNER,68,630.06,150.80
LEFT_EYE_INNER,69,604.34,138.54
LEFT_EYE_INNER,70,561.93,142.78
LEFT_EYE_INNER,71,548.29,156.25
LEFT_EYE_INNER,72,559.07,146.83
LEFT_EYE_INNER,73,560.01,147.66
LEFT_EYE_INNER,74,576.71,144.23
LEFT_EYE_INNER,75,618.11,147.14
LEFT_EYE_INNER,76,622.85,140.48
LEFT_EYE_INNER,77,657.03,131.33
LEFT_EYE_INNER,78,656.27,130.96
LEFT_EYE_INNER,79,664.84,129.95
LEFT_EYE_INNER,80,657.59,132.77
LEFT_EYE_INNER,83,602.61,152.29
LEFT_EYE_INNER,84,592.26,150.38
LEFT_EYE_INNER,85,603.81,167.74
LEFT_EYE_INNER,86,609.15,162.83
LEFT_EYE_INNER,87,615.54,150.57
LEFT_EYE_INNER,89,666.15,173.24
LEFT_EYE_INNER,90,666.24,173.49
LEFT_EYE_INNER,91,659.22,180.93
LEFT_EYE_INNER,92,671.92,183.25
LEFT_EYE_INNER,93,678.79,173.40
LEFT_EYE_INNER,94,682.40,180.27
LEFT_EYE_INNER,95,650.11,173.31
LEFT_EYE_INNER,96,663.95,181.18
LEFT_EYE_INNER,97,661.19,177.42
LEFT_EYE_INNER,98,652.12,174.73
LEFT_EYE_INNER,99,642.56,181.00
LEFT_EYE_INNER,103,605.70,182.50
LEFT_EYE_INNER,104,595.31,200.35
LEFT_EYE_INNER,105,597.41,203.56
LEFT_EYE_INNER,106,596.56,192.90
LEFT_EYE_INNER,107,602.09,199.46
LEFT_EYE_INNER,108,603.56,196.62
LEFT_EYE_INNER,109,619.02,190.75
LEFT_EYE_INNER,111,687.13,190.37
LEFT_EYE_INNER,112,691.72,204.12
LEFT_EYE_INNER,113,690.70,201.20
LEFT_EYE_INNER,114,686.71,199.45
LEFT_EYE_INNER,115,683.72,212.90
LEFT_EYE_INNER,116,713.44,207.48
LEFT_EYE_INNER,117,727.44,192.97
LEFT_EYE_INNER,118,732.05,180.88
LEFT_EYE_INNER,119,731.77,178.88
LEFT_EYE_INNER,120,696.87,186.37
LEFT_EYE_INNER,121,695.67,194.22
LEFT_EYE_INNER,122,686.70,194.85
LEFT_EYE_INNER,125,643.00,189.13
LEFT_EYE_INNER,127,644.82,200.32
LEFT_EYE_INNER,128,635.77,210.60
LEFT_EYE_INNER,129,637.84,207.99
LEFT_EYE_INNER,130,627.94,198.96
LEFT_EYE_INNER,131,628.97,198.65
LEFT_EYE_INNER,132,629.77,192.63
LEFT_EYE_INNER,133,644.28,181.77
LEFT_EYE_INNER,134,660.81,173.70
LEFT_EYE_INNER,135,674.72,167.54
LEFT_EYE_INNER,136,674.59,166.24
LEFT_EYE_INNER,137,676.07,164.04
LEFT_EYE_INNER,138,677.89,159.06
LEFT_EYE_INNER,140,684.32,154.20
LEFT_EYE_INNER,141,686.02,147.52
LEFT_EYE_INNER,142,686.57,142.56
LEFT_EYE_INNER,143,686.60,142.54
LEFT_EYE_INNER,144,686.86,141.54
LEFT_EYE_INNER,145,688.17,141.08
LEFT_EYE_INNER,146,692.64,139.25
LEFT_EYE_INNER,147,701.71,134.97
LEFT_EYE_INNER,148,705.57,128.69
LEFT_EYE_INNER,149,704.42,130.34
LEFT_EYE_INNER,150,705.32,128.61
LEFT_EYE_INNER,151,697.37,132.31
LEFT_EYE_INNER,152,691.66,135.01
LEFT_EYE_INNER,153,687.32,142.28
LEFT_EYE_INNER,154,686.27,144.98
LEFT_EYE_INNER,155,696.49,147.32
LEFT_EYE_INNER,156,686.21,146.79
LEFT_EYE_INNER,157,684.42,144.97
LEFT_EYE_INNER,158,680.34,145.96
LEFT_EYE_INNER,159,685.06,150.95
LEFT_EYE_INNER,160,685.23,150.82
LEFT_EYE_INNER,161,695.21,154.05
LEFT_EYE_INNER,162,709.71,157.25
LEFT_EYE_INNER,163,724.25,159.90
LEFT_EYE_INNER,164,728.49,161.47
LEFT_EYE_INNER,165,731.28,164.09
LEFT_EYE_INNER,166,731.04,164.02
LEFT_EYE_INNER,167,731.70,166.27
LEFT_EYE_INNER,168,728.01,166.61
LEFT_EYE_INNER,169,724.20,167.59
LEFT_EYE_INNER,170,713.14,167.41
LEFT_EYE_INNER,171,706.35,166.87
LEFT_EYE_INNER,172,706.54,167.07
LEFT_EYE_INNER,173,695.78,169.65
LEFT_EYE_INNER,174,691.77,166.46
LEFT_EYE_INNER,175,669.66,169.97
LEFT_EYE_INNER,176,656.67,170.96
LEFT_EYE_INNER,177,649.85,172.50
LEFT_EYE_INNER,178,649.67,172.76
LEFT_EYE_INNER,179,641.00,174.47
LEFT_EYE_INNER,180,643.05,182.60
LEFT_EYE_INNER,181,637.94,178.80
LEFT_EYE_INNER,182,633.26,176.12
LEFT_EYE_INNER,183,634.01,179.64
LEFT_EYE,0,599.46,315.27
LEFT_EYE,1,541.96,312.25
LEFT_EYE,2,542.04,312.53
LEFT_EYE,3,529.22,322.37
LEFT_EYE,4,527.31,314.30
LEFT_EYE,5,548.20,308.78
LEFT_EYE,6,590.08,290.45
LEFT_EYE,7,629.61,274.99
LEFT_EYE,8,630.47,274.49
LEFT_EYE,9,662.23,251.73
LEFT_EYE,10,689.44,241.02
LEFT_EYE,11,695.60,227.60
LEFT_EYE,12,690.65,213.39
LEFT_EYE,13,676.45,195.16
LEFT_EYE,14,676.06,194.72
LEFT_EYE,15,649.51,182.90
LEFT_EYE,16,620.31,171.46
LEFT_EYE,17,602.20,155.22
LEFT_EYE,18,581.38,156.30
LEFT_EYE,19,580.44,156.42
LEFT_EYE,20,580.40,156.00
LEFT_EYE,21,580.09,154.60
LEFT_EYE,22,579.92,156.10
LEFT_EYE,23,584.03,158.13
LEFT_EYE,24,606.02,164.21
LEFT_EYE,25,623.11,156.03
LEFT_EYE,26,623.70,155.71
LEFT_EYE,27,642.37,160.94
LEFT_EYE,28,662.67,166.14
LEFT_EYE,29,674.04,176.85
LEFT_EYE,30,676.04,181.55
LEFT_EYE,31,658.36,184.82
LEFT_EYE,32,658.19,184.76
LEFT_EYE,33,616.16,177.97
LEFT_EYE,34,553.21,188.28
LEFT_EYE,35,542.61,194.06
LEFT_EYE,36,532.12,207.28
LEFT_EYE,37,541.17,212.40
LEFT_EYE,38,541.66,212.86
LEFT_EYE,39,583.84,214.55
LEFT_EYE,40,624.16,167.08
LEFT_EYE,41,680.97,226.28
LEFT_EYE,42,709.81,235.52
LEFT_EYE,43,711.02,234.35
LEFT_EYE,44,705.41,239.77
LEFT_EYE,45,573.72,203.91
LEFT_EYE,46,592.48,224.25
LEFT_EYE,47,543.55,221.55
LEFT_EYE,48,510.04,238.68
LEFT_EYE,49,509.95,238.83
LEFT_EYE,50,515.19,236.10
LEFT_EYE,51,553.86,202.19
LEFT_EYE,52,592.84,201.46
LEFT_EYE,53,662.71,216.46
LEFT_EYE,54,674.83,207.33
LEFT_EYE,55,674.82,207.67
LEFT_EYE,56,667.60,186.78
LEFT_EYE,57,645.00,169.52
LEFT_EYE,58,610.49,157.22
LEFT_EYE,59,584.00,147.65
LEFT_EYE,60,587.00,147.49
LEFT_EYE,61,587.61,149.24
LEFT_EYE,62,608.97,144.78
LEFT_EYE,63,634.80,141.51
LEFT_EYE,64,652.87,136.77
LEFT_EYE,65,668.90,138.00
LEFT_EYE,66,666.10,141.87
LEFT_EYE,67,665.88,142.55
LEFT_EYE,68,630.82,150.98
LEFT_EYE,69,601.54,138.22
LEFT_EYE,70,562.95,142.57
LEFT_EYE,71,550.12,155.67
LEFT_EYE,72,560.87,146.41
LEFT_EYE,73,561.70,147.16
LEFT_EYE,74,579.56,144.10
LEFT_EYE,75,621.96,146.84
LEFT_EYE,76,625.24,140.50
LEFT_EYE,77,656.79,131.26
LEFT_EYE,78,656.20,130.99
LEFT_EYE,79,663.01,129.97
LEFT_EYE,80,655.83,133.07
LEFT_EYE,83,598.11,152.10
LEFT_EYE,84,586.97,149.92
LEFT_EYE,85,601.66,166.75
LEFT_EYE,86,608.19,162.34
LEFT_EYE,87,615.48,151.71
LEFT_EYE,89,667.08,174.27
LEFT_EYE,90,666.89,176.43
LEFT_EYE,91,661.97,182.18
LEFT_EYE,92,673.89,180.58
LEFT_EYE,93,680.75,173.85
LEFT_EYE,94,682.65,179.06
LEFT_EYE,95,650.79,171.94
LEFT_EYE,96,663.84,179.63
LEFT_EYE,97,661.81,178.44
LEFT_EYE,98,652.34,176.28
LEFT_EYE,99,641.74,181.78
LEFT_EYE,103,603.88,183.04
LEFT_EYE,104,590.97,201.44
LEFT_EYE,105,594.54,204.23
LEFT_EYE,106,593.14,194.28
LEFT_EYE,107,600.70,200.75
LEFT_EYE,108,601.83,197.93
LEFT_EYE,109,618.28,192.50
LEFT_EYE,111,685.26,190.76
LEFT_EYE,112,692.59,205.26
LEFT_EYE,113,691.50,204.39
LEFT_EYE,114,684.35,198.25
LEFT_EYE,115,681.15,212.70
LEFT_EYE,116,714.20,209.00
LEFT_EYE,117,727.72,193.35
LEFT_EYE,118,729.68,180.47
LEFT_EYE,119,729.67,178.37
LEFT_EYE,120,697.54,188.31
LEFT_EYE,121,695.42,196.02
LEFT_EYE,122,684.61,194.69
LEFT_EYE,125,640.14,189.56
LEFT_EYE,127,641.95,200.56
LEFT_EYE,128,632.32,210.56
LEFT_EYE,129,634.37,208.02
LEFT_EYE,130,625.31,199.59
LEFT_EYE,131,626.15,199.26
LEFT_EYE,132,629.24,193.08
LEFT_EYE,133,643.69,182.51
LEFT_EYE,134,660.86,174.63
LEFT_EYE,135,676.01,169.63
LEFT_EYE,136,676.20,167.42
LEFT_EYE,137,677.94,165.43
LEFT_EYE,138,680.82,160.24
LEFT_EYE,140,687.96,153.84
LEFT_EYE,141,689.01,147.93
LEFT_EYE,142,690.02,142.28
LEFT_EYE,143,690.12,142.24
LEFT_EYE,144,689.44,141.29
LEFT_EYE,145,689.63,140.82
LEFT_EYE,146,694.06,138.70
LEFT_EYE,147,701.47,135.01
LEFT_EYE,148,704.52,128.82
LEFT_EYE,149,703.19,130.47
LEFT_EYE,150,703.74,128.88
LEFT_EYE,151,694.68,132.73
LEFT_EYE,152,688.37,135.28
LEFT_EYE,153,684.83,142.76
LEFT_EYE,154,683.90,145.44
LEFT_EYE,155,696.61,147.16
LEFT_EYE,156,686.86,146.72
LEFT_EYE,157,686.45,145.52
LEFT_EYE,158,682.38,146.13
LEFT_EYE,159,688.28,151.09
LEFT_EYE,160,688.44,151.00
LEFT_EYE,161,699.08,154.46
LEFT_EYE,162,713.32,157.36
LEFT_EYE,163,725.65,160.05
LEFT_EYE,164,727.66,161.20
LEFT_EYE,165,730.21,164.05
LEFT_EYE,166,729.99,163.92
LEFT_EYE,167,730.37,165.94
LEFT_EYE,168,726.28,166.34
LEFT_EYE,169,722.00,167.73
LEFT_EYE,170,710.61,167.61
LEFT_EYE,171,703.94,166.54
LEFT_EYE,172,704.08,166.71
LEFT_EYE,173,692.84,169.15
LEFT_EYE,174,688.90,165.98
LEFT_EYE,175,666.39,169.60
LEFT_EYE,176,653.69,170.65
LEFT_EYE,177,647.51,172.56
LEFT_EYE,178,647.34,172.80
LEFT_EYE,179,639.87,174.72
LEFT_EYE,180,643.46,182.38
LEFT_EYE,181,638.06,178.76
LEFT_EYE,182,634.98,176.16
LEFT_EYE,183,636.45,179.00
LEFT_EYE_OUTER,0,597.82,315.26
LEFT_EYE_OUTER,1,541.21,310.33
LEFT_EYE_OUTER,2,541.55,312.30
LEFT_EYE_OUTER,3,529.40,321.57
LEFT_EYE_OUTER,4,528.38,313.23
LEFT_EYE_OUTER,5,551.43,308.14
LEFT_EYE_OUTER,6,593.82,289.32
LEFT_EYE_OUTER,7,632.68,273.84
LEFT_EYE_OUTER,8,633.35,273.40
LEFT_EYE_OUTER,9,663.59,251.37
LEFT_EYE_OUTER,10,688.44,239.84
LEFT_EYE_OUTER,11,694.37,226.75
LEFT_EYE_OUTER,12,689.15,212.11
LEFT_EYE_OUTER,13,674.39,194.57
LEFT_EYE_OUTER,14,673.94,193.87
LEFT_EYE_OUTER,15,646.10,181.68
LEFT_EYE_OUTER,16,618.15,171.09
LEFT_EYE_OUTER,17,600.15,155.28
LEFT_EYE_OUTER,18,581.99,155.77
LEFT_EYE_OUTER,19,581.41,155.89
LEFT_EYE_OUTER,20,581.33,155.49
LEFT_EYE_OUTER,21,582.21,153.27
LEFT_EYE_OUTER,22,582.00,154.66
LEFT_EYE_OUTER,23,586.60,156.08
LEFT_EYE_OUTER,24,609.09,162.36
LEFT_EYE_OUTER,25,625.54,155.10
LEFT_EYE_OUTER,26,625.88,154.78
LEFT_EYE_OUTER,27,643.78,159.62
LEFT_EYE_OUTER,28,662.01,164.71
LEFT_EYE_OUTER,29,672.94,176.01
LEFT_EYE_OUTER,30,673.81,180.03
LEFT_EYE_OUTER,31,655.75,183.44
LEFT_EYE_OUTER,32,655.76,182.99
LEFT_EYE_OUTER,33,614.94,177.27
LEFT_EYE_OUTER,34,554.38,187.47
LEFT_EYE_OUTER,35,544.44,192.85
LEFT_EYE_OUTER,36,533.93,205.32
LEFT_EYE_OUTER,37,542.64,210.25
LEFT_EYE_OUTER,38,542.99,210.85
LEFT_EYE_OUTER,39,585.92,212.48
LEFT_EYE_OUTER,40,623.31,167.61
LEFT_EYE_OUTER,41,680.83,225.39
LEFT_EYE_OUTER,42,709.05,234.04
LEFT_EYE_OUTER,43,709.93,232.65
LEFT_EYE_OUTER,44,704.14,238.03
LEFT_EYE_OUTER,45,573.62,203.27
LEFT_EYE_OUTER,46,594.02,223.71
LEFT_EYE_OUTER,47,544.31,220.42
LEFT_EYE_OUTER,48,511.56,236.81
LEFT_EYE_OUTER,49,511.47,236.92
LEFT_EYE_OUTER,50,516.79,233.66
LEFT_EYE_OUTER,51,554.68,202.97
LEFT_EYE_OUTER,52,591.83,201.50
LEFT_EYE_OUTER,53,662.25,214.65
LEFT_EYE_OUTER,54,673.97,205.93
LEFT_EYE_OUTER,55,673.98,206.27
LEFT_EYE_OUTER,56,664.40,184.02
LEFT_EYE_OUTER,57,644.43,170.66
LEFT_EYE_OUTER,58,611.10,157.30
LEFT_EYE_OUTER,59,584.81,148.01
LEFT_EYE_OUTER,60,588.94,147.26
LEFT_EYE_OUTER,61,589.81,148.92
LEFT_EYE_OUTER,62,612.66,143.84
LEFT_EYE_OUTER,63,638.72,140.75
LEFT_EYE_OUTER,64,654.38,136.59
LEFT_EYE_OUTER,65,667.97,137.28
LEFT_EYE_OUTER,66,664.69,140.94
LEFT_EYE_OUTER,67,664.44,141.51
LEFT_EYE_OUTER,68,631.64,151.52
LEFT_EYE_OUTER,69,597.41,138.37
LEFT_EYE_OUTER,70,563.62,142.50
LEFT_EYE_OUTER,71,551.49,155.06
LEFT_EYE_OUTER,72,562.73,145.96
LEFT_EYE_OUTER,73,563.40,146.64
LEFT_EYE_OUTER,74,582.34,144.04
LEFT_EYE_OUTER,75,625.44,146.61
LEFT_EYE_OUTER,76,627.35,140.47
LEFT_EYE_OUTER,77,656.90,131.17
LEFT_EYE_OUTER,78,656.45,130.98
LEFT_EYE_OUTER,79,661.23,130.16
LEFT_EYE_OUTER,80,654.11,133.36
LEFT_EYE_OUTER,83,596.51,152.22
LEFT_EYE_OUTER,84,585.92,149.93
LEFT_EYE_OUTER,85,599.18,165.68
LEFT_EYE_OUTER,86,606.75,161.60
LEFT_EYE_OUTER,87,615.27,152.39
LEFT_EYE_OUTER,89,669.14,177.54
LEFT_EYE_OUTER,90,669.34,177.92
LEFT_EYE_OUTER,91,663.82,183.27
LEFT_EYE_OUTER,92,675.59,180.87
LEFT_EYE_OUTER,93,683.79,174.46
LEFT_EYE_OUTER,94,682.99,178.22
LEFT_EYE_OUTER,95,651.57,170.92
LEFT_EYE_OUTER,96,663.79,178.45
LEFT_EYE_OUTER,97,662.16,179.26
LEFT_EYE_OUTER,98,652.51,178.03
LEFT_EYE_OUTER,99,640.77,182.68
LEFT_EYE_OUTER,103,602.43,183.09
LEFT_EYE_OUTER,104,588.72,201.69
LEFT_EYE_OUTER,105,591.66,204.45
LEFT_EYE_OUTER,106,589.93,195.12
LEFT_EYE_OUTER,107,599.28,202.06
LEFT_EYE_OUTER,108,600.15,199.19
LEFT_EYE_OUTER,109,617.38,194.28
LEFT_EYE_OUTER,111,683.45,191.55
LEFT_EYE_OUTER,112,693.30,206.26
LEFT_EYE_OUTER,113,692.27,205.29
LEFT_EYE_OUTER,114,681.95,197.44
LEFT_EYE_OUTER,115,678.55,212.91
LEFT_EYE_OUTER,116,713.14,208.50
LEFT_EYE_OUTER,117,727.24,191.46
LEFT_EYE_OUTER,118,727.19,180.38
LEFT_EYE_OUTER,119,727.46,178.18
LEFT_EYE_OUTER,120,697.90,190.15
LEFT_EYE_OUTER,121,695.16,197.80
LEFT_EYE_OUTER,122,681.83,196.72
LEFT_EYE_OUTER,125,637.46,190.46
LEFT_EYE_OUTER,127,639.25,200.43
LEFT_EYE_OUTER,128,628.78,210.54
LEFT_EYE_OUTER,129,631.30,208.15
LEFT_EYE_OUTER,130,622.80,200.19
LEFT_EYE_OUTER,131,623.49,199.83
LEFT_EYE_OUTER,132,628.68,194.04
LEFT_EYE_OUTER,133,643.43,183.12
LEFT_EYE_OUTER,134,660.89,175.48
LEFT_EYE_OUTER,135,677.44,171.70
LEFT_EYE_OUTER,136,677.85,168.67
LEFT_EYE_OUTER,137,679.89,166.70
LEFT_EYE_OUTER,138,683.84,161.88
LEFT_EYE_OUTER,140,692.42,153.72
LEFT_EYE_OUTER,141,692.30,148.50
LEFT_EYE_OUTER,142,693.75,142.11
LEFT_EYE_OUTER,143,693.89,142.07
LEFT_EYE_OUTER,144,692.43,141.07
LEFT_EYE_OUTER,145,691.42,140.35
LEFT_EYE_OUTER,146,695.71,138.03
LEFT_EYE_OUTER,147,701.42,134.83
LEFT_EYE_OUTER,148,703.17,128.97
LEFT_EYE_OUTER,149,701.56,130.69
LEFT_EYE_OUTER,150,701.98,129.24
LEFT_EYE_OUTER,151,691.64,133.20
LEFT_EYE_OUTER,152,685.05,135.70
LEFT_EYE_OUTER,153,682.12,144.10
LEFT_EYE_OUTER,154,681.64,145.96
LEFT_EYE_OUTER,155,696.54,147.07
LEFT_EYE_OUTER,156,687.31,146.69
LEFT_EYE_OUTER,157,688.32,146.12
LEFT_EYE_OUTER,158,684.42,146.46
LEFT_EYE_OUTER,159,691.63,151.31
LEFT_EYE_OUTER,160,691.84,151.29
LEFT_EYE_OUTER,161,703.70,155.05
LEFT_EYE_OUTER,162,716.77,157.48
LEFT_EYE_OUTER,163,726.95,160.24
LEFT_EYE_OUTER,164,726.88,160.99
LEFT_EYE_OUTER,165,729.15,164.01
LEFT_EYE_OUTER,166,728.91,163.82
LEFT_EYE_OUTER,167,728.96,165.55
LEFT_EYE_OUTER,168,724.33,165.94
LEFT_EYE_OUTER,169,720.03,167.82
LEFT_EYE_OUTER,170,707.78,167.80
LEFT_EYE_OUTER,171,701.29,166.27
LEFT_EYE_OUTER,172,701.42,166.41
LEFT_EYE_OUTER,173,689.90,168.55
LEFT_EYE_OUTER,174,685.77,165.55
LEFT_EYE_OUTER,175,663.23,169.28
LEFT_EYE_OUTER,176,650.69,170.51
LEFT_EYE_OUTER,177,645.08,172.69
LEFT_EYE_OUTER,178,644.77,172.93
LEFT_EYE_OUTER,179,638.67,174.91
LEFT_EYE_OUTER,180,644.09,182.25
LEFT_EYE_OUTER,181,638.00,178.77
